omega,lon,lat
-0.08089255,-119.9218,39.5239
0.17450255,-120.4549,38.57567
0.21405332,-120.094,38.62627
0.17694396,-120.5208,38.8577
0.09979552,-120.1582,38.90858
-0.015438855,-119.795,38.9581
0.10467833,-120.223,39.19109
-0.03692323,-119.8581,39.24089
0.07245177,-120.2885,39.4738
0.007022083,-119.9218,39.5239
0.06903628,-120.4549,38.57567
0.16132143,-120.094,38.62627
0.09638003,-120.5208,38.8577
0.07977847,-120.1582,38.90858
-0.015924655,-119.795,38.9581
0.09491519,-120.223,39.19109
-0.039362155,-119.8581,39.24089
0.10565738,-120.2885,39.4738
0.0065362826,-119.9218,39.5239
0.043036208,-120.4549,38.57567
0.043036208,-120.094,38.62627
0.065008864,-120.5208,38.8577
0.042547926,-120.1582,38.90858
0.0039737076,-119.795,38.9581
0.077215895,-120.223,39.19109
-0.0018856674,-119.8581,39.24089
0.07135652,-120.2885,39.4738
0.017157301,-119.9218,39.5239
0.028641552,-120.4549,38.57567
0.06282124,-120.094,38.62627
0.030594677,-120.5208,38.8577
0.041825145,-120.1582,38.90858
0.013016552,-119.795,38.9581
0.04328999,-120.223,39.19109
0.008133739,-119.8581,39.24089
0.06282124,-120.2885,39.4738
0.012039989,-119.9218,39.5239
0.020600528,-120.4549,38.57567
0.025971621,-120.094,38.62627
0.0147411525,-120.5208,38.8577
0.030854434,-120.1582,38.90858
0.04110834,-119.795,38.9581
0.005463809,-120.223,39.19109
0.04062006,-119.8581,39.24089
-0.01357916,-120.2885,39.4738
0.0015575588,-119.9218,39.5239
-0.011579476,-120.4549,38.57567
-0.038923226,-120.094,38.62627
-0.00523182,-120.5208,38.8577
-0.0076732263,-120.1582,38.90858
0.040178336,-119.795,38.9581
-0.026227914,-120.223,39.19109
0.032365836,-119.8581,39.24089
-0.049665414,-120.2885,39.4738
-0.019391976,-119.9218,39.5239
0.019371875,-120.4549,38.57567
-0.061682813,-120.094,38.62627
0.0291375,-120.5208,38.8577
0.026696093,-120.1582,38.90858
0.13509454,-119.795,38.9581
0.026207812,-120.223,39.19109
0.15902032,-119.8581,39.24089
0.014977343,-120.2885,39.4738
0.083825,-119.9218,39.5239
0.051218666,-120.4549,38.57567
0.078074135,-120.094,38.62627
0.05707804,-120.5208,38.8577
0.06782023,-120.1582,38.90858
0.022898354,-119.795,38.9581
0.070261635,-120.223,39.19109
0.011179604,-119.8581,39.24089
0.047800697,-120.2885,39.4738
0.020945229,-119.9218,39.5239
0.012728736,-120.4549,38.57567
0.020052955,-120.094,38.62627
0.008334205,-120.5208,38.8577
0.031283423,-120.1582,38.90858
-0.027798608,-119.795,38.9581
-0.008755639,-120.223,39.19109
-0.03707595,-119.8581,39.24089
0.007357642,-120.2885,39.4738
-0.058560327,-119.9218,39.5239
0.06017963,-120.4549,38.57567
0.053831972,-120.094,38.62627
0.049925722,-120.5208,38.8577
0.0738515,-120.1582,38.90858
0.051390566,-119.795,38.9581
0.008910097,-120.223,39.19109
0.046996035,-119.8581,39.24089
-0.019898497,-120.2885,39.4738
0.00060931593,-119.9218,39.5239
0.027261324,-120.4549,38.57567
