air,lon,lat
269.72385,-120.2885,39.4738
274.34103,-119.9218,39.5239
279.31354,-120.4549,38.57567
270.9151,-120.094,38.62627
278.37604,-120.5208,38.8577
271.8448,-120.1582,38.90858
271.7979,-119.795,38.9581
272.06354,-120.223,39.19109
272.26666,-119.8581,39.24089
271.45416,-120.2885,39.4738
275.74323,-119.9218,39.5239
279.43744,-120.4549,38.57567
268.4843,-120.094,38.62627
279.01556,-120.5208,38.8577
268.88275,-120.1582,38.90858
268.55463,-119.795,38.9581
271.7187,-120.223,39.19109
270.3515,-119.8581,39.24089
268.50775,-120.2885,39.4738
273.914,-119.9218,39.5239
281.44867,-120.4549,38.57567
272.76898,-120.094,38.62627
281.8393,-120.5208,38.8577
273.24554,-120.1582,38.90858
271.62054,-119.795,38.9581
275.16742,-120.223,39.19109
273.32367,-119.8581,39.24089
273.2768,-120.2885,39.4738
276.29242,-119.9218,39.5239
281.30823,-120.4549,38.57567
274.26917,-120.094,38.62627
283.06604,-120.5208,38.8577
274.57385,-120.1582,38.90858
272.0426,-119.795,38.9581
276.83167,-120.223,39.19109
273.87854,-119.8581,39.24089
275.2223,-120.2885,39.4738
278.01135,-119.9218,39.5239
284.0971,-120.4549,38.57567
276.62054,-120.094,38.62627
284.98773,-120.5208,38.8577
277.48773,-120.1582,38.90858
274.5268,-119.795,38.9581
279.73773,-120.223,39.19109
275.87054,-119.8581,39.24089
276.89398,-120.2885,39.4738
279.9096,-119.9218,39.5239
282.55408,-120.4549,38.57567
275.15564,-120.094,38.62627
282.27283,-120.5208,38.8577
275.46814,-120.1582,38.90858
274.09314,-119.795,38.9581
275.83533,-120.223,39.19109
275.14783,-119.8581,39.24089
274.73376,-120.2885,39.4738
278.85876,-119.9218,39.5239
274.43207,-120.4549,38.57567
261.54144,-120.094,38.62627
273.06488,-120.5208,38.8577
261.893,-120.1582,38.90858
263.90082,-119.795,38.9581
265.56488,-120.223,39.19109
264.80707,-119.8581,39.24089
262.47113,-120.2885,39.4738
269.43207,-119.9218,39.5239
274.47083,-120.4549,38.57567
261.5802,-120.094,38.62627
272.7755,-120.5208,38.8577
261.8849,-120.1582,38.90858
258.5724,-119.795,38.9581
266.0724,-120.223,39.19109
261.74426,-119.8581,39.24089
261.2599,-120.2885,39.4738
267.0255,-119.9218,39.5239
277.62305,-120.4549,38.57567
268.29492,-120.094,38.62627
277.02148,-120.5208,38.8577
267.67773,-120.1582,38.90858
265.4043,-119.795,38.9581
271.30273,-120.223,39.19109
267.13867,-119.8581,39.24089
267.9121,-120.2885,39.4738
270.74805,-119.9218,39.5239
279.25793,-120.4549,38.57567
272.51575,-120.094,38.62627
280.32043,-120.5208,38.8577
272.83606,-120.1582,38.90858
271.25793,-119.795,38.9581
276.31262,-120.223,39.19109
273.15637,-119.8581,39.24089
273.47668,-120.2885,39.4738
275.6173,-119.9218,39.5239
282.0499,-120.4549,38.57567
272.1124,-120.094,38.62627
282.82333,-120.5208,38.8577
272.56552,-120.1582,38.90858
270.69833,-119.795,38.9581
276.63583,-120.223,39.19109
272.78427,-119.8581,39.24089
273.65146,-120.2885,39.4738
276.97177,-119.9218,39.5239
283.41827,-120.4549,38.57567
272.9417,-120.094,38.62627
283.26984,-120.5208,38.8577
273.8011,-120.1582,38.90858
272.09015,-119.795,38.9581
275.98077,-120.223,39.19109
273.46515,-119.8581,39.24089
273.91827,-120.2885,39.4738
277.51984,-119.9218,39.5239
278.73273,-120.4549,38.57567
266.13116,-120.094,38.62627
277.51398,-120.5208,38.8577
267.43585,-120.1582,38.90858
269.04523,-119.795,38.9581
270.94366,-120.223,39.19109
269.57648,-119.8581,39.24089
267.56085,-120.2885,39.4738
273.42023,-119.9218,39.5239
278.5572,-120.4549,38.57567
267.58844,-120.094,38.62627
277.78375,-120.5208,38.8577
267.5025,-120.1582,38.90858
264.04938,-119.795,38.9581
272.4322,-120.223,39.19109
266.33844,-119.8581,39.24089
267.33063,-120.2885,39.4738
270.77594,-119.9218,39.5239
282.73395,-120.4549,38.57567
270.1324,-120.094,38.62627
281.5699,-120.5208,38.8577
269.34332,-120.1582,38.90858
266.36676,-119.795,38.9581
275.34332,-120.223,39.19109
268.10895,-119.8581,39.24089
269.3824,-120.2885,39.4738
272.18707,-119.9218,39.5239
283.20117,-120.4549,38.57567
270.99023,-120.094,38.62627
282.49023,-120.5208,38.8577
271.1543,-120.1582,38.90858
269.0918,-119.795,38.9581
275.41992,-120.223,39.19109
270.86523,-119.8581,39.24089
271.74023,-120.2885,39.4738
274.9746,-119.9218,39.5239
282.58435,-120.4549,38.57567
269.9203,-120.094,38.62627
281.63904,-120.5208,38.8577
270.0531,-120.1582,38.90858
268.1859,-119.795,38.9581
274.1703,-120.223,39.19109
270.2328,-119.8581,39.24089
271.3031,-120.2885,39.4738
274.57654,-119.9218,39.5239
282.4346,-120.4549,38.57567
270.35648,-120.094,38.62627
281.04398,-120.5208,38.8577
271.38773,-120.1582,38.90858
270.1846,-119.795,38.9581
274.6768,-120.223,39.19109
272.2471,-119.8581,39.24089
272.39554,-120.2885,39.4738
276.84085,-119.9218,39.5239
282.9682,-120.4549,38.57567
271.06976,-120.094,38.62627
282.30414,-120.5208,38.8577
272.06976,-120.1582,38.90858
271.17914,-119.795,38.9581
275.5932,-120.223,39.19109
272.67914,-119.8581,39.24089
273.0229,-120.2885,39.4738
277.26508,-119.9218,39.5239
283.57126,-120.4549,38.57567
273.69626,-120.094,38.62627
282.68063,-120.5208,38.8577
274.5947,-120.1582,38.90858
274.2197,-119.795,38.9581
276.23532,-120.223,39.19109
275.11032,-119.8581,39.24089
274.46188,-120.2885,39.4738
278.77438,-119.9218,39.5239
281.87454,-120.4549,38.57567
270.0308,-120.094,38.62627
280.92923,-120.5208,38.8577
270.39798,-120.1582,38.90858
269.9761,-119.795,38.9581
274.17923,-120.223,39.19109
270.99173,-119.8581,39.24089
270.52298,-120.2885,39.4738
275.17142,-119.9218,39.5239
281.2187,-120.4549,38.57567
269.30463,-120.094,38.62627
280.27338,-120.5208,38.8577
269.26556,-120.1582,38.90858
266.6562,-119.795,38.9581
273.08588,-120.223,39.19109
268.5937,-119.8581,39.24089
269.7812,-120.2885,39.4738
272.789,-119.9218,39.5239
281.12872,-120.4549,38.57567
268.34747,-120.094,38.62627
280.19122,-120.5208,38.8577
269.3084,-120.1582,38.90858
267.40997,-119.795,38.9581
273.01154,-120.223,39.19109
268.77716,-119.8581,39.24089
270.4881,-120.2885,39.4738
272.8709,-119.9218,39.5239
281.43567,-120.4549,38.57567
269.17004,-120.094,38.62627
280.55286,-120.5208,38.8577
269.59192,-120.1582,38.90858
267.3966,-119.795,38.9581
274.05286,-120.223,39.19109
269.4591,-119.8581,39.24089
270.56067,-120.2885,39.4738
273.56067,-119.9218,39.5239
283.35333,-120.4549,38.57567
270.1502,-120.094,38.62627
282.24396,-120.5208,38.8577
270.94708,-120.1582,38.90858
269.35333,-119.795,38.9581
275.25958,-120.223,39.19109
271.53302,-119.8581,39.24089
272.2049,-120.2885,39.4738
275.44708,-119.9218,39.5239
285.06866,-120.4549,38.57567
271.99835,-120.094,38.62627
283.6624,-120.5208,38.8577
272.4124,-120.1582,38.90858
272.0374,-119.795,38.9581
276.43585,-120.223,39.19109
272.9124,-119.8581,39.24089
273.2718,-120.2885,39.4738
277.2093,-119.9218,39.5239
282.16467,-120.4549,38.57567
270.4303,-120.094,38.62627
281.9225,-120.5208,38.8577
271.96936,-120.1582,38.90858
271.32874,-119.795,38.9581
275.86,-120.223,39.19109
273.34436,-119.8581,39.24089
273.21936,-120.2885,39.4738
278.14905,-119.9218,39.5239
282.09488,-120.4549,38.57567
270.8605,-120.094,38.62627
281.2277,-120.5208,38.8577
270.89175,-120.1582,38.90858
270.8527,-119.795,38.9581
274.8527,-120.223,39.19109
272.28238,-119.8581,39.24089
271.2355,-120.2885,39.4738
276.43863,-119.9218,39.5239
284.50574,-120.4549,38.57567
271.8495,-120.094,38.62627
283.4901,-120.5208,38.8577
271.4901,-120.1582,38.90858
269.3573,-119.795,38.9581
276.537,-120.223,39.19109
270.82605,-119.8581,39.24089
271.94324,-120.2885,39.4738
276.13855,-119.9218,39.5239
285.85135,-120.4549,38.57567
273.9529,-120.094,38.62627
285.30447,-120.5208,38.8577
274.48416,-120.1582,38.90858
271.17166,-119.795,38.9581
278.41385,-120.223,39.19109
273.4529,-119.8581,39.24089
275.47635,-120.2885,39.4738
277.61697,-119.9218,39.5239
286.5842,-120.4549,38.57567
274.3264,-120.094,38.62627
285.67795,-120.5208,38.8577
275.41232,-120.1582,38.90858
272.94357,-119.795,38.9581
279.23264,-120.223,39.19109
275.0842,-119.8581,39.24089
276.99826,-120.2885,39.4738
279.87326,-119.9218,39.5239
286.11325,-120.4549,38.57567
273.62888,-120.094,38.62627
285.36325,-120.5208,38.8577
274.62888,-120.1582,38.90858
272.44138,-119.795,38.9581
278.9648,-120.223,39.19109
275.25388,-119.8581,39.24089
275.8945,-120.2885,39.4738
