cdlyr,lon,lat
45.5,-120.4549,38.57567
25.75,-120.094,38.62627
52.875,-120.5208,38.8577
32.25,-120.1582,38.90858
32.0,-119.795,38.9581
35.0,-120.223,39.19109
35.875,-119.8581,39.24089
33.75,-120.2885,39.4738
35.875,-119.9218,39.5239
57.625,-120.4549,38.57567
32.375,-120.094,38.62627
61.875,-120.5208,38.8577
33.75,-120.1582,38.90858
25.75,-119.795,38.9581
43.75,-120.223,39.19109
32.125,-119.8581,39.24089
51.5,-120.2885,39.4738
43.0,-119.9218,39.5239
50.125,-120.4549,38.57567
31.625,-120.094,38.62627
52.625,-120.5208,38.8577
42.0,-120.1582,38.90858
