pr_wtr,lon,lat
4.964679,-120.1582,38.90858
4.902179,-119.795,38.9581
5.183429,-120.223,39.19109
5.136554,-119.8581,39.24089
5.261554,-120.2885,39.4738
5.792804,-119.9218,39.5239
7.761793,-120.4549,38.57567
5.0117936,-120.094,38.62627
7.871168,-120.5208,38.8577
5.449293,-120.1582,38.90858
5.136793,-119.795,38.9581
5.589918,-120.223,39.19109
5.324293,-119.8581,39.24089
5.355543,-120.2885,39.4738
5.918043,-119.9218,39.5239
9.573166,-120.4549,38.57567
5.8231654,-120.094,38.62627
9.323166,-120.5208,38.8577
6.4169154,-120.1582,38.90858
5.9637904,-119.795,38.9581
6.323165,-120.223,39.19109
6.0731654,-119.8581,39.24089
5.7762904,-120.2885,39.4738
6.416915,-119.9218,39.5239
13.773759,-120.4549,38.57567
8.789384,-120.094,38.62627
13.055009,-120.5208,38.8577
9.539384,-120.1582,38.90858
9.101884,-119.795,38.9581
9.398759,-120.223,39.19109
9.305009,-119.8581,39.24089
8.930009,-120.2885,39.4738
10.117509,-119.9218,39.5239
13.654642,-120.4549,38.57567
9.279642,-120.094,38.62627
13.748392,-120.5208,38.8577
10.154642,-120.1582,38.90858
9.842142,-119.795,38.9581
10.342142,-120.223,39.19109
10.154642,-119.8581,39.24089
9.998392,-120.2885,39.4738
11.123392,-119.9218,39.5239
13.634641,-120.4549,38.57567
8.525265,-120.094,38.62627
13.447141,-120.5208,38.8577
9.47839,-120.1582,38.90858
8.75964,-119.795,38.9581
9.66589,-120.223,39.19109
9.25964,-119.8581,39.24089
8.94714,-120.2885,39.4738
10.009641,-119.9218,39.5239
10.777883,-120.4549,38.57567
6.2466326,-120.094,38.62627
10.606008,-120.5208,38.8577
7.1216326,-120.1582,38.90858
6.8247576,-119.795,38.9581
7.2310076,-120.223,39.19109
7.0435076,-119.8581,39.24089
6.8716326,-120.2885,39.4738
7.8716326,-119.9218,39.5239
6.000143,-120.4549,38.57567
3.2813928,-120.094,38.62627
6.140768,-120.5208,38.8577
3.5470178,-120.1582,38.90858
3.4845178,-119.795,38.9581
3.6876428,-120.223,39.19109
3.6876428,-119.8581,39.24089
3.4532678,-120.2885,39.4738
4.484518,-119.9218,39.5239
8.950604,-120.4549,38.57567
4.9037294,-120.094,38.62627
8.653729,-120.5208,38.8577
5.2631044,-120.1582,38.90858
4.5443544,-119.795,38.9581
5.0599794,-120.223,39.19109
4.4506044,-119.8581,39.24089
4.4662294,-120.2885,39.4738
4.9506044,-119.9218,39.5239
5.7689953,-120.4549,38.57567
2.300245,-120.094,38.62627
5.5658703,-120.5208,38.8577
2.75337,-120.1582,38.90858
2.456495,-119.795,38.9581
2.65962,-120.223,39.19109
2.53462,-119.8581,39.24089
2.268995,-120.2885,39.4738
2.97212,-119.9218,39.5239
6.156021,-120.4549,38.57567
3.702896,-120.094,38.62627
5.890396,-120.5208,38.8577
3.984146,-120.1582,38.90858
4.031021,-119.795,38.9581
3.890396,-120.223,39.19109
4.015396,-119.8581,39.24089
3.4528964,-120.2885,39.4738
4.327896,-119.9218,39.5239
10.1977005,-120.4549,38.57567
